name,slottime_GMT,slottype,slotavg,pointTitle,Date,Chilled Water (tons),Hot Water (kBTU/hr),Electric (kW),Solar (kW)
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-23 00:00:00,D,4.089241770,Chilled Water,2024-03-26,5.074336666,33.829904687,37.624028333,34.816801145
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-23 00:00:00,D,50.399365937,Hot Water Building Heat,2024-03-27,7.359729479,28.243561979,28.842607395,43.164566979
HuShihHall.Elec.PowerScout3HD/kW,2024-01-23 00:00:00,D,65.695335104,Electric,2024-03-28,5.212274687,33.679918229,34.426027291,41.055925729
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-23 00:00:00,D,3.447161354,Electric Solar submeter,2024-03-29,4.848659895,42.817544062,52.666214062,28.235886875
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-24 00:00:00,D,4.209191666,Chilled Water,2024-03-30,4.359459270,35.626666145,6.170052083,59.167223958
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-24 00:00:00,D,50.053001666,Hot Water Building Heat,2024-03-31,4.535276145,28.750815000,8.558077083,53.446987916
HuShihHall.Elec.PowerScout3HD/kW,2024-01-24 00:00:00,D,68.132937291,Electric,2024-04-01,5.003190104,27.201933229,26.566658333,32.330393854
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-24 00:00:00,D,3.687865833,Electric Solar submeter,2024-04-02,4.296194270,29.958298645,49.555530312,11.774932812
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-25 00:00:00,D,4.719173541,Chilled Water,2024-04-03,4.396598333,36.486309791,44.747916979,7.756248854
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-25 00:00:00,D,40.086296354,Hot Water Building Heat,2024-04-04,4.255583750,37.522777500,33.691220625,23.786674375
HuShihHall.Elec.PowerScout3HD/kW,2024-01-25 00:00:00,D,67.675580833,Electric,2024-04-05,3.872842040,42.237215306,28.304080408,29.445703469
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-25 00:00:00,D,7.742500937,Electric Solar submeter,2024-04-06,4.066918750,38.384563958,15.116245833,37.645467708
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-26 00:00:00,D,4.854300729,Chilled Water,2024-04-07,5.868428541,30.515795625,-8.730106458,73.619750416
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-26 00:00:00,D,36.391779791,Hot Water Building Heat,2024-04-08,5.924642916,31.558147916,34.461999791,31.976447708
HuShihHall.Elec.PowerScout3HD/kW,2024-01-26 00:00:00,D,60.933058541,Electric,2024-04-09,10.636197500,21.643497291,2.253023958,67.384104166
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-26 00:00:00,D,12.755237604,Electric Solar submeter,2024-04-10,12.629881076,16.483093846,36.796918000,31.160172000
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-27 00:00:00,D,4.717234375,Chilled Water,2024-04-11,12.512870625,19.635373541,37.781266250,26.246502708
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-27 00:00:00,D,43.315501458,Hot Water Building Heat,2024-04-12,11.998360625,19.740791041,43.566664895,27.150879583
HuShihHall.Elec.PowerScout3HD/kW,2024-01-27 00:00:00,D,69.279965312,Electric,2024-04-13,6.392983020,34.065454062,65.910355833,15.851513229
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-27 00:00:00,D,10.055735208,Electric Solar submeter,2024-04-14,6.283383854,27.376770937,50.648029166,20.493925833
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-28 00:00:00,D,4.892302604,Chilled Water,2024-04-15,9.219545520,24.874321145,6.107573125,67.815168020
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-28 00:00:00,D,43.711205104,Hot Water Building Heat,2024-04-16,10.965132395,24.672042395,-0.395692083,72.001917187
HuShihHall.Elec.PowerScout3HD/kW,2024-01-28 00:00:00,D,75.274766145,Electric,2024-04-17,7.649530937,25.663086666,49.577992291,23.246005833
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-28 00:00:00,D,4.483879583,Electric Solar submeter,2024-04-18,8.680870729,22.322471458,52.251601145,16.952235520
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-29 00:00:00,D,4.190788229,Chilled Water,2024-04-19,6.968785625,27.796879166,52.655867500,20.834343541
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-29 00:00:00,D,54.371497083,Hot Water Building Heat,2024-04-20,6.644842500,26.279235104,40.004969791,31.501646041
HuShihHall.Elec.PowerScout3HD/kW,2024-01-29 00:00:00,D,78.847928229,Electric,2024-04-21,5.052134895,33.842667812,52.375235416,25.728715312
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-29 00:00:00,D,0.762126145,Electric Solar submeter,2024-04-22,6.311417083,31.486114270,-5.551744583,76.510128645
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-30 00:00:00,D,4.162851770,Chilled Water,2024-04-23,9.625173854,25.893034166,2.303066354,65.633171770
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-30 00:00:00,D,53.565311770,Hot Water Building Heat,2024-04-24,7.847071666,26.324249583,50.576184583,21.777057500
HuShihHall.Elec.PowerScout3HD/kW,2024-01-30 00:00:00,D,73.173007916,Electric,2024-04-25,6.666075208,34.367337708,-11.430150520,80.343420312
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-30 00:00:00,D,0.591309270,Electric Solar submeter,2024-04-26,9.135546145,32.502462812,-5.415940833,78.677415104
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-31 00:00:00,D,4.309909583,Chilled Water,2024-04-27,8.308214895,28.066287708,45.715578125,28.423395208
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-31 00:00:00,D,50.547117500,Hot Water Building Heat,2024-04-28,11.345052916,20.584952083,51.152568958,25.747786666
HuShihHall.Elec.PowerScout3HD/kW,2024-01-31 00:00:00,D,64.939386145,Electric,2024-04-29,21.767981354,14.662927708,5.592723229,72.561750729
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-31 00:00:00,D,5.742631770,Electric Solar submeter,2024-04-30,22.512472500,17.195485937,24.733847291,46.437100416
HuShihHall.B0061.FleximF721/CW.Tons,2024-02-01 00:00:00,D,4.556706041,Chilled Water,2024-05-01,21.329860312,16.092746875,-2.482175625,72.693729687
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-02-01 00:00:00,D,49.828693229,Hot Water Building Heat,2024-05-02,23.423891979,13.765703125,-9.188637187,78.817916979
HuShihHall.Elec.PowerScout3HD/kW,2024-02-01 00:00:00,D,70.691705937,Electric,2024-05-03,21.656605416,16.092088750,7.699076666,63.958399062
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-02-01 00:00:00,D,4.315860729,Electric Solar submeter,2024-05-04,18.326972187,17.743808958,31.866002291,38.217120416
