name,slottime_GMT,slottype,slotavg,pointTitle,Date,Electric (kW),Steam (lbs/hr)
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-10 00:00:00,D,67.389583333,,2024-03-20,65.926041666,32.444644375
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-10 00:00:00,D,20.942905208,Steam,2024-03-21,65.876041666,52.679149166
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-11 00:00:00,D,70.230208333,,2024-03-22,69.373958333,55.429196666
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-11 00:00:00,D,23.525259895,Steam,2024-03-23,67.621875000,51.233569687
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-12 00:00:00,D,66.098958333,,2024-03-24,66.250000000,45.634612916
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-12 00:00:00,D,41.803952708,Steam,2024-03-25,64.732291666,46.434251770
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-13 00:00:00,D,65.623958333,,2024-03-26,65.423958333,46.556525833
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-13 00:00:00,D,52.421386250,Steam,2024-03-27,63.527083333,89.257167708
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-14 00:00:00,D,63.676041666,,2024-03-28,67.654166666,269.706378333
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-14 00:00:00,D,353.207741250,Steam,2024-03-29,67.893750000,27.480504166
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-15 00:00:00,D,63.693750000,,2024-03-30,58.366666666,11.039979895
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-15 00:00:00,D,848.145893958,Steam,2024-03-31,53.826041666,5.194821979
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-16 00:00:00,D,65.815625000,,2024-04-01,53.934375000,4.938292500
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-16 00:00:00,D,72.804226666,Steam,2024-04-02,52.387500000,3.853373645
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-17 00:00:00,D,67.959375000,,2024-04-03,51.596842105,4.893884375
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-17 00:00:00,D,77.695601666,Steam,2024-04-04,52.082291666,6.403579687
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-18 00:00:00,D,66.754166666,,2024-04-05,52.024489795,10.761175102
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-18 00:00:00,D,216.615908750,Steam,2024-04-06,55.000000000,6.719306250
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-19 00:00:00,D,65.880208333,,2024-04-07,58.195833333,4.347200000
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-19 00:00:00,D,115.100976875,Steam,2024-04-08,62.258333333,15.778787708
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-20 00:00:00,D,67.051041666,,2024-04-09,58.945833333,18.155765208
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-20 00:00:00,D,530.330960625,Steam,2024-04-10,60.969230769,0.462376615
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-21 00:00:00,D,66.441666666,,2024-04-11,59.534375000,0.894434479
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-21 00:00:00,D,75.746659479,Steam,2024-04-12,60.898958333,11.871372916
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-22 00:00:00,D,66.168750000,,2024-04-13,65.528125000,13.430511250
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-22 00:00:00,D,44.495171354,Steam,2024-04-14,66.225000000,5.466771250
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-23 00:00:00,D,68.251041666,,2024-04-15,64.270833333,16.398415520
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-23 00:00:00,D,38.556671666,Steam,2024-04-16,62.626041666,17.111587500
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-24 00:00:00,D,61.228125000,,2024-04-17,63.676041666,29.453582500
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-24 00:00:00,D,157.403663020,Steam,2024-04-18,63.327083333,25.804018437
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-25 00:00:00,D,58.762500000,,2024-04-19,64.821875000,2.403644895
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-25 00:00:00,D,442.816740625,Steam,2024-04-20,66.612500000,14.895005000
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-26 00:00:00,D,61.208333333,,2024-04-21,67.466666666,6.955256145
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-26 00:00:00,D,10.177835625,Steam,2024-04-22,64.355208333,24.157060625
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-27 00:00:00,D,60.543750000,,2024-04-23,62.991666666,15.372469479
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-27 00:00:00,D,8.177757395,Steam,2024-04-24,64.923958333,14.430914895
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-28 00:00:00,D,63.332291666,,2024-04-25,64.881250000,24.676558541
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-28 00:00:00,D,145.816821875,Steam,2024-04-26,63.187500000,21.994350000
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-29 00:00:00,D,66.385416666,,2024-04-27,63.914583333,21.459041979
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-29 00:00:00,D,81.953203645,Steam,2024-04-28,61.862500000,1.747194687
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-01 00:00:00,D,66.101041666,,2024-04-29,59.544791666,0.350128333
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-01 00:00:00,D,411.442200729,Steam,2024-04-30,59.715625000,0.581501250
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-02 00:00:00,D,68.911458333,,2024-05-01,60.035416666,205.377345416
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-02 00:00:00,D,21.036407291,Steam,2024-05-02,58.459375000,109.092082500
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-03 00:00:00,D,65.247916666,,2024-05-03,61.546875000,248.038668333
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-03 00:00:00,D,8.554117291,Steam,2024-05-04,61.182291666,108.584690312
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-04 00:00:00,D,64.480208333,,2024-05-05,65.570833333,292.688515000
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-04 00:00:00,D,11.613172291,Steam,2024-05-06,60.740625000,101.958669687
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-05 00:00:00,D,65.359375000,,2024-05-07,61.412500000,265.193061145
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-05 00:00:00,D,13.617382604,Steam,2024-05-08,60.673958333,126.858760312
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-06 00:00:00,D,66.667708333,,2024-05-09,61.911458333,90.339942187
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-06 00:00:00,D,5.265026145,Steam,2024-05-10,66.295833333,15.062747395
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-07 00:00:00,D,64.917708333,,2024-05-11,63.642708333,10.346015937
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-07 00:00:00,D,22.462227395,Steam,2024-05-12,61.797916666,323.868239479
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-08 00:00:00,D,65.796875000,,2024-05-13,62.525000000,116.957791458
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-08 00:00:00,D,31.097068854,Steam,2024-05-14,58.896875000,0.515211979
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-09 00:00:00,D,66.876041666,,2024-05-15,61.960416666,0.340496250
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-09 00:00:00,D,16.404442395,Steam,2024-05-16,61.921875000,0.520057916
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-10 00:00:00,D,66.692708333,,2024-05-17,62.052083333,0.200254166
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-10 00:00:00,D,23.043113958,Steam,2024-05-18,59.075000000,0.208151666
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-11 00:00:00,D,64.355208333,,2024-05-19,51.368750000,0.000000000
